學年度,縣市別,學校名稱,運動種類,男性名額,女性名額,不分性別名額
108,臺北市,臺北市立萬芳高級中學,射擊,0,0,6
108,臺北市,臺北市立萬芳高級中學,跆拳道,0,0,8
108,臺北市,臺北市立萬芳高級中學,合球,0,0,12
108,臺北市,臺北市立萬芳高級中學,舉重,0,0,4
108,臺北市,臺北市立南港高級中學,田徑,0,0,9
108,臺北市,臺北市立南港高級中學,游泳,0,0,8
108,臺北市,臺北市立南港高級中學,體操,0,3,0
108,臺北市,臺北市立南港高級中學,輕艇,0,0,3
108,臺北市,臺北市立育成高級中學,划船,0,0,10
108,臺北市,臺北市立育成高級中學,輕艇,0,0,10
108,臺北市,臺北市立育成高級中學,擊劍,0,0,10
108,臺北市,臺北市立育成高級中學,跆拳,0,0,12
108,臺北市,臺北市立育成高級中學,拳擊,0,0,18
108,臺北市,臺北市立南港高級工業職業學校,棒球,15,0,0
108,臺北市,臺北市立南港高級工業職業學校,網球,0,0,8
108,臺北市,臺北市立內湖高級中學,田徑,0,0,10
108,臺北市,臺北市立內湖高級中學,空手道,0,0,12
108,臺北市,臺北市立內湖高級中學,排球,0,0,13
108,臺北市,臺北市立麗山高級中學,射箭,0,0,6
108,臺北市,臺北市立麗山高級中學,手球,7,0,0
108,臺北市,臺北市立麗山高級中學,田徑,0,0,7
108,臺北市,臺北市立南湖高級中學,桌球,0,8,0
108,臺北市,臺北市立南湖高級中學,排球,0,8,0
108,臺北市,臺北市立南湖高級中學,籃球,8,8,0
108,臺北市,臺北市立內湖高級工業職業學校,桌球,0,0,14
108,臺北市,臺北市立內湖高級工業職業學校,排球,12,0,0
108,臺北市,臺北市立內湖高級工業職業學校,划船,0,0,10
108,臺北市,臺北市立陽明高級中學,田徑,0,0,11
108,臺北市,臺北市立陽明高級中學,網球,0,0,4
108,臺北市,臺北市立陽明高級中學,棒球,13,0,0
108,臺北市,臺北市立陽明高級中學,籃球,0,8,0
108,臺北市,臺北市立陽明高級中學,舉重,0,0,2
108,臺北市,臺北市立百齡高級中學,羽球,10,0,0
108,臺北市,臺北市立百齡高級中學,跆拳道,0,0,5
108,臺北市,臺北市立百齡高級中學,角力,0,0,6
108,臺北市,臺北市立百齡高級中學,拳擊,0,0,12
108,臺北市,臺北市立士林高級商業職業學校,田徑,0,0,8
108,臺北市,臺北市立士林高級商業職業學校,柔道,0,0,15
108,臺北市,臺北市立士林高級商業職業學校,壘球,0,12,0
108,臺北市,臺北市立復興高級中學,空手道,0,0,5
108,臺北市,臺北市立復興高級中學,足球,16,0,0
108,臺北市,臺北市立復興高級中學,撞球,0,0,10
108,臺北市,臺北市立復興高級中學,柔道,0,0,5
108,臺北市,臺北市立中正高級中學,田徑,0,0,14
108,臺北市,臺北市立中正高級中學,擊劍,0,0,8
108,臺北市,臺北市立中正高級中學,舉重,0,0,3
108,臺北市,臺北市立中正高級中學,武術,0,0,6
108,臺北市,臺北市立中正高級中學,足球,9,0,0
108,高雄市,高雄市立鼓山高級中學,排球,0,0,12
108,高雄市,高雄市立鼓山高級中學,舉重,0,0,8
108,高雄市,高雄市立鼓山高級中學,拔河,0,0,12
108,高雄市,高雄市立鼓山高級中學,健力,0,0,4
108,高雄市,高雄市立鼓山高級中學,攀岩,0,0,4
108,高雄市,高雄市立左營高級中學,現代五項,0,0,7
108,高雄市,高雄市立左營高級中學,田徑,0,0,10
108,高雄市,高雄市立左營高級中學,羽球,0,7,0
108,高雄市,高雄市立左營高級中學,射箭,0,0,6
108,高雄市,高雄市立新莊高級中學,游泳,0,0,8
108,高雄市,高雄市立新莊高級中學,羽球,6,6,0
108,高雄市,高雄市立新莊高級中學,網球,10,0,0
108,高雄市,高雄市立海青高級工商職業學校,田徑,0,0,8
108,高雄市,高雄市立海青高級工商職業學校,跆拳道,0,0,8
108,高雄市,高雄市立海青高級工商職業學校,柔道,0,0,4
108,高雄市,高雄市立海青高級工商職業學校,撞球,0,0,8
108,高雄市,高雄市立海青高級工商職業學校,角力,0,0,4
108,高雄市,高雄市立海青高級工商職業學校,自由車,8,0,0
108,高雄市,高雄市立三民高級家事商業職業學校,籃球,20,0,0
108,高雄市,高雄市立三民高級家事商業職業學校,手球,20,0,0
108,高雄市,高雄市立楠梓高級中學,田徑,0,0,11
108,高雄市,高雄市立楠梓高級中學,跆拳道,0,0,11
108,高雄市,高雄市立楠梓高級中學,自由車,0,0,4
108,高雄市,高雄市立楠梓高級中學,射擊,0,0,4
108,高雄市,高雄市立高雄高級中學,田徑,0,0,15
108,高雄市,高雄市立高雄高級中學,桌球,6,0,0
108,高雄市,高雄市立高雄高級中學,羽球,0,0,18
108,高雄市,高雄市立高雄高級中學,帆船,0,0,1
108,高雄市,高雄市立三民高級中學,網球,0,6,0
108,高雄市,高雄市立三民高級中學,擊劍,0,0,3
108,高雄市,高雄市立三民高級中學,棒球,25,0,0
108,高雄市,高雄市立三民高級中學,高爾夫球,0,0,6
108,高雄市,高雄市立高雄高級商業職業學校,保齡球,0,0,10
108,高雄市,高雄市立高雄高級商業職業學校,排球,0,12,0
108,高雄市,高雄市立高雄高級商業職業學校,手球,0,13,0
108,高雄市,高雄市立中正高級中學,田徑,0,0,10
108,高雄市,高雄市立中正高級中學,游泳,0,0,5
108,高雄市,高雄市立中正高級中學,跆拳道,0,0,7
108,高雄市,高雄市立中正高級中學,高爾夫球,0,0,5
108,高雄市,高雄市立中正高級中學,劍道,0,0,2
108,高雄市,高雄市立中正高級中學,武術,0,0,4
108,高雄市,高雄市立中正高級中學,韻律體操,0,4,0
108,高雄市,高雄市立中正高級中學,有氧競技體操,0,0,1
108,高雄市,高雄市立瑞祥高級中學,田徑,4,4,0
108,高雄市,高雄市立瑞祥高級中學,游泳,4,4,0
108,高雄市,高雄市立瑞祥高級中學,體操,0,0,2
108,高雄市,高雄市立瑞祥高級中學,排球,6,0,0
108,高雄市,高雄市立瑞祥高級中學,足球,8,8,0
108,高雄市,高雄市立中正高級工業職業學校,田徑,0,0,8
